Transaction_ID,Date,Product_EAN,Product_Name,Category,Quantity,Unit_Price,Total_Revenue
TXN-20230003,2023-10-20,36615633201,Pasquier Brioche Tranchée Complet,Bakery,1,1.43,1.43
TXN-20230003,2023-10-20,38004153625,Le Petit Marseillais Shampoing Bio,Hygiene,1,4.28,4.28
TXN-20230003,2023-10-20,36806318444,Yoplait Beurre Doux x8,Dairy,1,2.4,2.4
TXN-20230003,2023-10-20,34989033428,Yoplait Crème Fraîche 500g,Dairy,1,2.06,2.06
TXN-20230003,2023-10-20,35518392242,Boulangerie Loc. Brioche Tranchée Nature,Bakery,1,1.97,1.97
TXN-20230003,2023-10-20,38086019361,Amora Riz Basmati 1kg,Grocery (Dry),1,1.2,1.2
TXN-20230003,2023-10-20,35838045862,Volvic Soda 1.5L,Beverages,1,6.97,6.97
TXN-20230003,2023-10-20,32419630311,Tropicana Soda 1L,Beverages,2,6.51,13.02
TXN-20230004,2023-11-01,33679759634,Heineken Soda 1L,Beverages,2,3.14,6.28
TXN-20230004,2023-11-01,36983276442,Pasquier Baguette x10,Bakery,1,2.82,2.82
TXN-20230004,2023-11-01,37874442697,Président Fromage Blanc 500g,Dairy,3,1.79,5.37
TXN-20230004,2023-11-01,38517795604,Nivea Shampoing Bio,Hygiene,1,8.02,8.02
TXN-20230005,2023-10-30,37397106609,Origine Espagne Salade 500g,Fresh Produce,1,1.98,1.98
TXN-20230005,2023-10-30,33876325915,Boulangerie Loc. Brioche Tranchée Complet,Bakery,2,2.21,4.42
TXN-20230005,2023-10-30,36619969386,Galbani Yaourt Nature 1L,Dairy,1,2.09,2.09
TXN-20230005,2023-10-30,35056842032,Lustucru Sauce Tomate 1kg,Grocery (Dry),1,5.95,5.95
TXN-20230005,2023-10-30,34285879451,Carrefour Bio Crème Fraîche 250g,Dairy,1,4.21,4.21
TXN-20230005,2023-10-30,37497827117,Cristaline Eau Minérale 1.5L,Beverages,1,1.0,1.0
TXN-20230005,2023-10-30,38555610190,Pasquier Brioche Tranchée Complet,Bakery,1,2.53,2.53
TXN-20230006,2023-11-11,39158117811,Colgate Savon Liquide 250ml,Hygiene,1,7.62,7.62
TXN-20230006,2023-11-11,34011099499,Yoplait Lait Demi-Ecrémé x4,Dairy,1,3.44,3.44
TXN-20230006,2023-11-11,33701112793,Cristaline Soda Canette 33cl,Beverages,1,3.54,3.54
TXN-20230006,2023-11-11,34072795089,L'Oréal Dentifrice 250ml,Hygiene,2,5.41,10.82
TXN-20230006,2023-11-11,31442803778,Amora Mayonnaise Bocal,Grocery (Dry),1,5.88,5.88
TXN-20230006,2023-11-11,36760326753,Origine Espagne Pommes Vrac,Fresh Produce,1,1.89,1.89
TXN-20230006,2023-11-11,38769567856,La Boulangère Baguette Nature,Bakery,2,3.55,7.1
TXN-20230007,2023-11-07,36012005258,Origine France Tomates 500g,Fresh Produce,1,1.61,1.61
TXN-20230007,2023-11-07,38886691421,Nivea Dentifrice Lot x2,Hygiene,1,6.04,6.04
TXN-20230007,2023-11-07,34854879401,Danone Fromage Blanc x4,Dairy,1,3.37,3.37
TXN-20230007,2023-11-07,33186530638,Galbani Mozzarella x8,Dairy,1,2.83,2.83
TXN-20230007,2023-11-07,35989274463,Dove Gel Douche 400ml,Hygiene,1,4.32,4.32
TXN-20230007,2023-11-07,35805428235,Elle & Vire Lait Demi-Ecrémé 500g,Dairy,3,2.9,8.7
TXN-20230007,2023-11-07,38928267771,Amora Moutarde 500g,Grocery (Dry),1,5.8,5.8
TXN-20230007,2023-11-07,36619969386,Galbani Yaourt Nature 1L,Dairy,1,2.09,2.09
TXN-20230008,2023-10-18,39375046098,Oasis Bière Blonde Pack 6x33cl,Beverages,1,7.66,7.66
TXN-20230008,2023-10-18,37949840827,Colgate Shampoing Lot x2,Hygiene,1,7.54,7.54
TXN-20230009,2023-10-16,36619969386,Galbani Yaourt Nature 1L,Dairy,1,2.09,2.09
TXN-20230009,2023-10-16,37450140191,Galbani Mozzarella x4,Dairy,1,1.9,1.9
TXN-20230009,2023-10-16,33848734190,Amora Pâtes Tube,Grocery (Dry),1,2.82,2.82
TXN-20230009,2023-10-16,36295575786,Pasquier Baguette x10,Bakery,1,2.71,2.71
TXN-20230009,2023-10-16,33876325915,Boulangerie Loc. Brioche Tranchée Complet,Bakery,1,2.21,2.21
TXN-20230009,2023-10-16,31769581323,Origine France Tomates 1kg,Fresh Produce,1,2.1,2.1
TXN-20230009,2023-10-16,36202727839,Colgate Savon Liquide Lot x2,Hygiene,1,5.65,5.65
TXN-20230009,2023-10-16,34547026608,Priméale Bananes 500g,Fresh Produce,1,4.22,4.22
TXN-20230009,2023-10-16,31217677892,Nutella Moutarde 1kg,Grocery (Dry),1,2.86,2.86
TXN-20230009,2023-10-16,31282196690,La Boulangère Brioche Tranchée 500g,Bakery,1,3.65,3.65
TXN-20230009,2023-10-16,32180152312,Carrefour Bio Pommes 1kg,Fresh Produce,1,2.57,2.57
TXN-20230009,2023-10-16,33510102708,Priméale Courgettes 1kg,Fresh Produce,1,1.91,1.91
TXN-20230009,2023-10-16,35419799260,Origine Espagne Pommes 500g,Fresh Produce,1,2.47,2.47
TXN-20230009,2023-10-16,31367891353,Origine Espagne Tomates 500g,Fresh Produce,2,2.96,5.92
TXN-20230009,2023-10-16,37790446042,Carrefour Bio Crème Fraîche x4,Dairy,1,3.72,3.72
TXN-20230009,2023-10-16,36991441025,Colgate Dentifrice Bio,Hygiene,2,4.09,8.18
TXN-20230010,2023-10-13,34563520421,Cristaline Jus d'Orange Canette 33cl,Beverages,1,4.22,4.22
TXN-20230010,2023-10-13,38555610190,Pasquier Brioche Tranchée Complet,Bakery,1,2.53,2.53
TXN-20230010,2023-10-13,37201079685,Galbani Beurre Doux 1L,Dairy,6,4.16,24.96
TXN-20230010,2023-10-13,36415504471,Origine France Pommes 1kg,Fresh Produce,1,4.92,4.92
TXN-20230010,2023-10-13,38622518434,L'Oréal Dentifrice Lot x2,Hygiene,1,5.51,5.51
TXN-20230010,2023-10-13,37508260239,Lustucru Mayonnaise 1kg,Grocery (Dry),2,5.98,11.96
TXN-20230010,2023-10-13,39158117811,Colgate Savon Liquide 250ml,Hygiene,1,7.62,7.62
TXN-20230010,2023-10-13,36202727839,Colgate Savon Liquide Lot x2,Hygiene,3,5.65,16.95
TXN-20230010,2023-10-13,37879036459,Lustucru Pâtes 500g,Grocery (Dry),1,1.86,1.86
TXN-20230010,2023-10-13,34816618234,Carrefour Bio Yaourt Nature 250g,Dairy,1,3.82,3.82
TXN-20230010,2023-10-13,37853181276,Yoplait Beurre Doux 250g,Dairy,1,3.37,3.37
TXN-20230010,2023-10-13,35631372635,Président Crème Fraîche x8,Dairy,1,1.79,1.79
TXN-20230010,2023-10-13,33241461487,Boulangerie Loc. Pain de Mie x10,Bakery,1,3.36,3.36
TXN-20230010,2023-10-13,37561320348,Carrefour Bio Yaourt Nature x4,Dairy,2,2.27,4.54
TXN-20230010,2023-10-13,39341128173,Carrefour Bio Tomates Sachet,Fresh Produce,1,4.75,4.75
TXN-20230011,2023-10-06,35926031463,Amora Mayonnaise 1kg,Grocery (Dry),1,1.66,1.66
TXN-20230011,2023-10-06,31282196690,La Boulangère Brioche Tranchée 500g,Bakery,1,3.65,3.65
TXN-20230011,2023-10-06,36505826161,Nivea Gel Douche 400ml,Hygiene,1,8.8,8.8
TXN-20230011,2023-10-06,33711115696,Evian Bière Blonde 1L,Beverages,3,6.13,18.39
TXN-20230011,2023-10-06,31799546536,Danone Beurre Doux x4,Dairy,1,3.77,3.77
TXN-20230011,2023-10-06,35056842032,Lustucru Sauce Tomate 1kg,Grocery (Dry),1,5.95,5.95
TXN-20230011,2023-10-06,38166080536,Président Crème Fraîche x4,Dairy,2,1.73,3.46
TXN-20230011,2023-10-06,38449472177,Cristaline Soda Pack 6x33cl,Beverages,2,3.91,7.82
TXN-20230011,2023-10-06,35457701079,Priméale Pommes Sachet,Fresh Produce,2,3.31,6.62
TXN-20230011,2023-10-06,34403680634,Yoplait Lait Demi-Ecrémé 250g,Dairy,1,2.52,2.52
TXN-20230011,2023-10-06,35257617625,Panzani Pâtes 500g,Grocery (Dry),2,4.71,9.42
TXN-20230011,2023-10-06,36811794559,Origine Espagne Pommes 500g,Fresh Produce,2,1.65,3.3
TXN-20230011,2023-10-06,37086887645,Priméale Tomates 1kg,Fresh Produce,1,2.9,2.9
TXN-20230011,2023-10-06,35654032531,Origine Espagne Pommes 500g,Fresh Produce,1,2.11,2.11
TXN-20230011,2023-10-06,32451723340,Nutella Moutarde 500g,Grocery (Dry),1,4.37,4.37
TXN-20230011,2023-10-06,35607063393,Barilla Sauce Tomate 500g,Grocery (Dry),1,4.75,4.75
TXN-20230011,2023-10-06,38181252841,Volvic Jus d'Orange Pack 6x33cl,Beverages,1,6.86,6.86
TXN-20230011,2023-10-06,34563520421,Cristaline Jus d'Orange Canette 33cl,Beverages,1,4.22,4.22
TXN-20230012,2023-10-23,31469742821,Lustucru Mayonnaise 500g,Grocery (Dry),1,3.32,3.32
TXN-20230012,2023-10-23,35926031463,Amora Mayonnaise 1kg,Grocery (Dry),1,1.66,1.66
TXN-20230012,2023-10-23,35637696271,La Boulangère Croissants Nature,Bakery,2,3.65,7.3
TXN-20230012,2023-10-23,31072475072,Galbani Lait Demi-Ecrémé x4,Dairy,1,3.07,3.07
TXN-20230012,2023-10-23,33784342286,Barilla Haricots Verts Bocal,Grocery (Dry),1,1.52,1.52
TXN-20230012,2023-10-23,39961500577,L'Oréal Savon Liquide 250ml,Hygiene,2,4.21,8.42
TXN-20230012,2023-10-23,38452899947,Carrefour Bio Yaourt Nature 250g,Dairy,2,3.07,6.14
TXN-20230012,2023-10-23,36696006168,Origine France Pommes 500g,Fresh Produce,2,4.87,9.74
TXN-20230012,2023-10-23,33291412661,Origine France Salade 1kg,Fresh Produce,2,4.3,8.6
TXN-20230012,2023-10-23,38898511155,L'Oréal Déodorant Bio,Hygiene,2,5.04,10.08
TXN-20230012,2023-10-23,31243096245,Barilla Haricots Verts 1kg,Grocery (Dry),4,3.7,14.8
TXN-20230012,2023-10-23,34452330498,Evian Thé Glacé 1.5L,Beverages,1,5.11,5.11
TXN-20230012,2023-10-23,32047581605,Barilla Moutarde 1kg,Grocery (Dry),1,5.67,5.67
TXN-20230012,2023-10-23,34929308290,Priméale Courgettes Vrac,Fresh Produce,1,2.63,2.63
TXN-20230012,2023-10-23,37853181276,Yoplait Beurre Doux 250g,Dairy,2,3.37,6.74
TXN-20230012,2023-10-23,33756903682,Tropicana Eau Minérale Pack 6x33cl,Beverages,2,3.92,7.84
TXN-20230012,2023-10-23,32969116707,Harrys Pains au Chocolat x10,Bakery,2,3.52,7.04
TXN-20230013,2023-11-13,39619260142,Le Petit Marseillais Dentifrice 400ml,Hygiene,2,5.21,10.42
TXN-20230013,2023-11-13,32326554850,Coca Cola Eau Minérale 1L,Beverages,1,3.88,3.88
TXN-20230013,2023-11-13,38398540354,Elle & Vire Crème Fraîche x8,Dairy,1,1.69,1.69
TXN-20230014,2023-10-16,31729261985,Boulangerie Loc. Brioche Tranchée x10,Bakery,1,2.19,2.19
TXN-20230014,2023-10-16,37860955759,Panzani Pâtes Bocal,Grocery (Dry),2,4.82,9.64
TXN-20230014,2023-10-16,33291412661,Origine France Salade 1kg,Fresh Produce,2,4.3,8.6
TXN-20230014,2023-10-16,33291412661,Origine France Salade 1kg,Fresh Produce,1,4.3,4.3
TXN-20230014,2023-10-16,31932002492,Origine Espagne Carottes Sachet,Fresh Produce,1,2.32,2.32
TXN-20230014,2023-10-16,31963633350,Harrys Brioche Tranchée 500g,Bakery,1,2.14,2.14
TXN-20230014,2023-10-16,35597187111,Dove Déodorant Lot x2,Hygiene,1,7.13,7.13
TXN-20230014,2023-10-16,33239269085,Origine France Courgettes 500g,Fresh Produce,1,1.94,1.94
TXN-20230014,2023-10-16,31413616687,Carrefour Bio Lait Demi-Ecrémé 1L,Dairy,2,3.38,6.76
TXN-20230014,2023-10-16,33129232113,Carrefour Bio Salade 1kg,Fresh Produce,1,2.53,2.53
TXN-20230014,2023-10-16,38928267771,Amora Moutarde 500g,Grocery (Dry),4,5.8,23.2
TXN-20230014,2023-10-16,37497827117,Cristaline Eau Minérale 1.5L,Beverages,1,1.0,1.0
TXN-20230014,2023-10-16,34834257368,Boulangerie Loc. Pains au Chocolat 500g,Bakery,2,3.55,7.1
TXN-20230014,2023-10-16,31622374270,Heineken Jus d'Orange Canette 33cl,Beverages,1,2.93,2.93
TXN-20230015,2023-10-19,32451723340,Nutella Moutarde 500g,Grocery (Dry),1,4.37,4.37
TXN-20230015,2023-10-19,34827331558,Maille Pâtes 1kg,Grocery (Dry),1,2.93,2.93
TXN-20230015,2023-10-19,31473493543,Nivea Gel Douche Bio,Hygiene,1,2.83,2.83
TXN-20230016,2023-11-04,36940587890,Carrefour Bio Lait Demi-Ecrémé 500g,Dairy,1,3.02,3.02
TXN-20230016,2023-11-04,34371503943,Pasquier Pains au Chocolat Nature,Bakery,1,1.89,1.89
TXN-20230016,2023-11-04,38555610190,Pasquier Brioche Tranchée Complet,Bakery,1,2.53,2.53
TXN-20230016,2023-11-04,39687084645,Amora Sauce Tomate Tube,Grocery (Dry),1,2.85,2.85
TXN-20230016,2023-11-04,38030342780,Barilla Mayonnaise Bocal,Grocery (Dry),1,1.16,1.16
TXN-20230016,2023-11-04,38013059046,Amora Riz Basmati Bocal,Grocery (Dry),1,2.2,2.2
TXN-20230016,2023-11-04,38708048323,Barilla Haricots Verts 500g,Grocery (Dry),1,5.41,5.41
TXN-20230016,2023-11-04,38449472177,Cristaline Soda Pack 6x33cl,Beverages,1,3.91,3.91
TXN-20230016,2023-11-04,37702446919,Cristaline Jus d'Orange Canette 33cl,Beverages,3,3.25,9.75
TXN-20230016,2023-11-04,34528139524,Danone Crème Fraîche 1L,Dairy,1,3.25,3.25
TXN-20230016,2023-11-04,31906074415,Origine France Salade 500g,Fresh Produce,1,2.29,2.29
TXN-20230017,2023-11-15,39027169495,Panzani Mayonnaise 1kg,Grocery (Dry),1,3.16,3.16
TXN-20230017,2023-11-15,33290515782,Signal Dentifrice Bio,Hygiene,1,7.45,7.45
TXN-20230017,2023-11-15,39017325417,Danone Yaourt Nature 500g,Dairy,1,3.86,3.86
TXN-20230017,2023-11-15,39825019371,Nivea Savon Liquide 400ml,Hygiene,1,9.3,9.3
TXN-20230017,2023-11-15,36392409038,Harrys Brioche Tranchée 500g,Bakery,1,3.26,3.26
TXN-20230017,2023-11-15,35782835311,L'Oréal Dentifrice 250ml,Hygiene,3,2.93,8.79
TXN-20230018,2023-11-08,32582306556,Origine Espagne Tomates Vrac,Fresh Produce,1,3.02,3.02
TXN-20230018,2023-11-08,31729261985,Boulangerie Loc. Brioche Tranchée x10,Bakery,2,2.19,4.38
TXN-20230018,2023-11-08,33690695429,Carrefour Bio Pommes 500g,Fresh Produce,1,2.42,2.42
TXN-20230018,2023-11-08,39422644435,Volvic Bière Blonde 1L,Beverages,1,1.22,1.22
TXN-20230018,2023-11-08,39230769964,Colgate Dentifrice 250ml,Hygiene,2,9.9,19.8
TXN-20230018,2023-11-08,38886691421,Nivea Dentifrice Lot x2,Hygiene,1,6.04,6.04
TXN-20230018,2023-11-08,39687084645,Amora Sauce Tomate Tube,Grocery (Dry),1,2.85,2.85
TXN-20230018,2023-11-08,31526728370,La Boulangère Croissants Nature,Bakery,1,1.24,1.24
TXN-20230018,2023-11-08,31619268782,Bonduelle Sauce Tomate 500g,Grocery (Dry),1,1.75,1.75
TXN-20230018,2023-11-08,37136892462,Harrys Croissants Nature,Bakery,1,1.99,1.99
TXN-20230018,2023-11-08,32484122496,Danone Yaourt Nature x4,Dairy,1,2.41,2.41
TXN-20230018,2023-11-08,37869333328,Signal Dentifrice Lot x2,Hygiene,2,6.38,12.76
TXN-20230018,2023-11-08,31799546536,Danone Beurre Doux x4,Dairy,1,3.77,3.77
TXN-20230018,2023-11-08,35558140796,Evian Jus d'Orange Canette 33cl,Beverages,2,2.11,4.22
TXN-20230018,2023-11-08,35955832305,Colgate Gel Douche Bio,Hygiene,3,6.15,18.45
TXN-20230018,2023-11-08,33926817704,La Boulangère Pain de Mie Nature,Bakery,1,3.44,3.44
TXN-20230018,2023-11-08,35756705304,Boulangerie Loc. Croissants 500g,Bakery,1,1.52,1.52
TXN-20230018,2023-11-08,36349200413,Priméale Carottes 500g,Fresh Produce,2,4.17,8.34
TXN-20230019,2023-10-23,32480737797,Volvic Eau Minérale 1L,Beverages,2,3.15,6.3
TXN-20230019,2023-10-23,37128743207,Origine France Pommes 1kg,Fresh Produce,1,4.44,4.44
TXN-20230019,2023-10-23,32941877250,Elle & Vire Fromage Blanc x4,Dairy,1,3.46,3.46
TXN-20230019,2023-10-23,32037866392,Dove Dentifrice Lot x2,Hygiene,1,8.7,8.7
TXN-20230019,2023-10-23,35791755854,Oasis Eau Minérale Canette 33cl,Beverages,1,7.51,7.51
TXN-20230019,2023-10-23,31670495714,Priméale Tomates Sachet,Fresh Produce,1,2.58,2.58
TXN-20230019,2023-10-23,36696006168,Origine France Pommes 500g,Fresh Produce,1,4.87,4.87
TXN-20230019,2023-10-23,36071655820,Nivea Shampoing Lot x2,Hygiene,1,8.88,8.88
TXN-20230019,2023-10-23,36392409038,Harrys Brioche Tranchée 500g,Bakery,1,3.26,3.26
TXN-20230019,2023-10-23,32341439708,Cristaline Soda 1L,Beverages,1,4.45,4.45
TXN-20230019,2023-10-23,37177866205,Barilla Riz Basmati 500g,Grocery (Dry),1,3.31,3.31
TXN-20230019,2023-10-23,37006309476,La Boulangère Pain de Mie Complet,Bakery,1,1.9,1.9
TXN-20230019,2023-10-23,39008930794,Nivea Shampoing 400ml,Hygiene,1,8.59,8.59
TXN-20230019,2023-10-23,33756903682,Tropicana Eau Minérale Pack 6x33cl,Beverages,2,3.92,7.84
TXN-20230019,2023-10-23,36927327212,Panzani Haricots Verts 500g,Grocery (Dry),4,4.39,17.56
TXN-20230019,2023-10-23,33129232113,Carrefour Bio Salade 1kg,Fresh Produce,1,2.53,2.53
TXN-20230019,2023-10-23,39087383512,Heineken Jus d'Orange Pack 6x33cl,Beverages,1,5.56,5.56
TXN-20230019,2023-10-23,32773785009,Volvic Thé Glacé Canette 33cl,Beverages,1,5.47,5.47
TXN-20230019,2023-10-23,34193870705,Origine France Bananes Vrac,Fresh Produce,2,1.68,3.36
TXN-20230020,2023-10-08,36835516046,Priméale Carottes 500g,Fresh Produce,1,2.25,2.25
TXN-20230020,2023-10-08,32773785009,Volvic Thé Glacé Canette 33cl,Beverages,1,5.47,5.47
TXN-20230020,2023-10-08,32331627739,Panzani Riz Basmati Tube,Grocery (Dry),1,1.72,1.72
TXN-20230020,2023-10-08,38370572576,Tropicana Thé Glacé 1L,Beverages,3,6.57,19.71
TXN-20230020,2023-10-08,32326554850,Coca Cola Eau Minérale 1L,Beverages,1,3.88,3.88
TXN-20230020,2023-10-08,39217239484,Carrefour Bio Courgettes Sachet,Fresh Produce,1,3.62,3.62
TXN-20230020,2023-10-08,34285879451,Carrefour Bio Crème Fraîche 250g,Dairy,1,4.21,4.21
TXN-20230020,2023-10-08,34100651966,Carrefour Bio Lait Demi-Ecrémé 1L,Dairy,1,2.14,2.14
TXN-20230020,2023-10-08,31963633350,Harrys Brioche Tranchée 500g,Bakery,1,2.14,2.14
TXN-20230020,2023-10-08,39856985459,Dove Dentifrice Bio,Hygiene,2,9.32,18.64
TXN-20230020,2023-10-08,35236179707,Amora Pâtes 1kg,Grocery (Dry),1,4.63,4.63
TXN-20230020,2023-10-08,33518666683,Yoplait Fromage Blanc x8,Dairy,1,2.05,2.05
TXN-20230020,2023-10-08,34524620209,Galbani Mozzarella x4,Dairy,1,1.84,1.84
TXN-20230020,2023-10-08,32252256365,Président Fromage Blanc x4,Dairy,2,4.29,8.58
TXN-20230020,2023-10-08,38064170907,Boulangerie Loc. Pain de Mie 500g,Bakery,1,1.52,1.52
TXN-20230020,2023-10-08,38438550992,Colgate Shampoing Lot x2,Hygiene,1,3.74,3.74
TXN-20230020,2023-10-08,38622518434,L'Oréal Dentifrice Lot x2,Hygiene,1,5.51,5.51
TXN-20230020,2023-10-08,32054130921,La Boulangère Baguette Complet,Bakery,1,3.35,3.35
TXN-20230021,2023-10-17,37007862537,Origine France Carottes Sachet,Fresh Produce,1,1.39,1.39
TXN-20230021,2023-10-17,33544140865,Dove Dentifrice 400ml,Hygiene,1,5.54,5.54
TXN-20230021,2023-10-17,35654032531,Origine Espagne Pommes 500g,Fresh Produce,1,2.11,2.11
TXN-20230021,2023-10-17,34920690674,L'Oréal Déodorant Lot x2,Hygiene,1,5.93,5.93
TXN-20230021,2023-10-17,33343500027,Boulangerie Loc. Croissants x10,Bakery,1,2.65,2.65
TXN-20230021,2023-10-17,38004153625,Le Petit Marseillais Shampoing Bio,Hygiene,1,4.28,4.28
TXN-20230021,2023-10-17,31766009855,Nivea Dentifrice Bio,Hygiene,1,7.03,7.03
TXN-20230021,2023-10-17,32651444895,Nutella Pâtes Tube,Grocery (Dry),1,5.44,5.44
TXN-20230021,2023-10-17,37562273744,Danone Beurre Doux 500g,Dairy,1,2.29,2.29
TXN-20230021,2023-10-17,35329510357,Carrefour Bio Carottes Vrac,Fresh Produce,1,2.3,2.3
TXN-20230021,2023-10-17,38452899947,Carrefour Bio Yaourt Nature 250g,Dairy,1,3.07,3.07
TXN-20230021,2023-10-17,34827331558,Maille Pâtes 1kg,Grocery (Dry),1,2.93,2.93
TXN-20230021,2023-10-17,32881698243,Cristaline Eau Minérale 1L,Beverages,1,7.92,7.92
TXN-20230021,2023-10-17,35654032531,Origine Espagne Pommes 500g,Fresh Produce,1,2.11,2.11
TXN-20230021,2023-10-17,32545982062,Origine France Bananes 1kg,Fresh Produce,1,3.49,3.49
TXN-20230021,2023-10-17,36943759175,Evian Thé Glacé 1L,Beverages,1,3.28,3.28
TXN-20230021,2023-10-17,33784342286,Barilla Haricots Verts Bocal,Grocery (Dry),2,1.52,3.04
TXN-20230021,2023-10-17,39217239484,Carrefour Bio Courgettes Sachet,Fresh Produce,1,3.62,3.62
TXN-20230021,2023-10-17,31601204643,Pasquier Croissants Complet,Bakery,1,1.61,1.61
TXN-20230021,2023-10-17,36238458415,Barilla Mayonnaise 1kg,Grocery (Dry),1,1.99,1.99
TXN-20230022,2023-10-28,39788640918,Carrefour Bio Fromage Blanc 250g,Dairy,1,4.19,4.19
TXN-20230022,2023-10-28,32908562232,Carrefour Bio Fromage Blanc x4,Dairy,1,3.25,3.25
TXN-20230022,2023-10-28,35501076325,Pasquier Baguette x10,Bakery,6,2.92,17.52
